28.08.26,06:24:46,A1,IO,12,0,0,0, ,VE1,2219,1969,   0,   0, 443, 901,   0,   0,   0,   0,1821,1737,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:25:14,A1,IO,13,0,0,0, ,VE1,2325,2040,   0,   0, 435, 925,   0,   0,   0,   0,1864,1802,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:25:32,A1,IO,14,0,0,0, ,VE1,2272,2089,   0,   0, 421, 972,   0,   0,   0,   0,1850,1836,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:25:55,A1,IO,15,0,0,0, ,VE1,2363,1977,   0,   0, 436, 907,   0,   0,   0,   0,1903,1739,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:26:10,A1,IO,16,0,0,0, ,VE1,2150,2081,   0,   0, 422, 931,   0,   0,   0,   0,1773,1833,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:26,A1,IO,17,0,0,0, ,VE1,2092,2060,   0,   0, 371, 931,   0,   0,   0,   0,1728,1833,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:26:44,A1,IO,18,0,0,0, ,VE1,2180,2038,   0,   0, 430, 948,   0,   0,   0,   0,1780,1792,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:27:00,A1,IO,19,0,0,0, ,VE1,2220,1964,   0,   0, 432, 889,   0,   0,   0,   0,1789,1729,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:27:31,A1,NIO,20,0,0,0, ,VE1,2135,1959,   0,   0, 401, 810,   0,   0,   0,   0,1791,1704,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:27:49,A1,IO,21,0,0,0, ,VE1,2251,1988,   0,   0, 439, 934,   0,   0,   0,   0,1873,1754,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:28:11,A1,IO,22,0,0,0, ,VE1,2191,2052,   0,   0, 428, 964,   0,   0,   0,   0,1799,1815,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:28:27,A1,IO,23,0,0,0, ,VE1,2144,2072,   0,   0, 445, 989,   0,   0,   0,   0,1795,1839,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:28:42,A1,IO,24,0,0,0, ,VE1,2138,2023,   0,   0, 425, 942,   0,   0,   0,   0,1796,1781,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:29:03,A1,IO,25,0,0,0, ,VE1,2224,2031,   0,   0, 439, 889,   0,   0,   0,   0,1836,1772,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:29:18,A1,IO,26,0,0,0, ,VE1,2203,2053,   0,   0, 439, 942,   0,   0,   0,   0,1829,1824,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:29:35,A1,IO,27,0,0,0, ,VE1,2231,2054,   0,   0, 430, 928,   0,   0,   0,   0,1804,1802,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:30:01,A1,NIO,28,0,0,0, ,VE1,2209,2028,   0,   0, 425, 870,   0,   0,   0,   0,1795,1772,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:30:19,A1,IO,29,0,0,0, ,VE1,2117,2065,   0,   0, 407, 969,   0,   0,   0,   0,1743,1839,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:30:57,A1,NIO,30,0,0,0, ,VE1,2258,1972,   0,   0, 429, 857,   0,   0,   0,   0,1886,1718,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:31:26,A1,NIO,31,0,0,0, ,VE1,6380,1998,   0,   0, 439, 910,   0,   0,   0,   0,4509,1759,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:31:43,A1,IO,32,0,0,0, ,VE1,2157,1990,   0,   0, 413, 919,   0,   0,   0,   0,1781,1757,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:32:06,A1,IO,33,0,0,0, ,VE1,2203,2103,   0,   0, 437, 974,   0,   0,   0,   0,1815,1856,   0,   0,   0,   0,   0,   0,   0,   0,
